TF,Target,Weight
EBF3,ABI3BP,0.7046031622800356
EBF3,ADCY4,0.7640959810873809
EBF3,ADH1B,0.7707369992937452
EBF3,ADH1C,0.7061656829603199
EBF3,ADIPOQ,0.7252551274999142
EBF3,ANGPTL1,0.7365813032895872
EBF3,ANKRD47,0.7343131688353834
EBF3,AOC3,0.8095998667456684
EBF3,AQP1,0.7158299951480261
EBF3,AQP7P2,0.7183117225259292
EBF3,ARHGAP20,0.7157490819324542
EBF3,ASPA,0.7761021465040713
EBF3,BMX,0.753861611855344
EBF3,BTNL9,0.7027126564987777
EBF3,C2ORF32,0.782671606202166
EBF3,C6ORF189,0.7666142304716185
EBF3,C7,0.7289243156282741
EBF3,CAV1,0.7449626891643207
EBF3,CCL15,0.7579298955507419
EBF3,CD34,0.7632522170992234
EBF3,CD36,0.7117439167633738
EBF3,CLDN5,0.7176396233457818
EBF3,CLEC3B,0.7552169244597517
EBF3,CLIC5,0.7010982610916866
EBF3,CRHBP,0.7190243391250013
EBF3,DARC,0.7527686357150464
EBF3,DNASE1L3,0.7107326532030286
EBF3,EBF1,0.795888198369341
EBF3,ECM2,0.7511747100596722
EBF3,EDG1,0.8128172154277518
EBF3,EMCN,0.795942685365049
EBF3,ERG,0.7690149940428673
EBF3,FABP4,0.7364901473644064
EBF3,FHL1,0.7848547637974778
EBF3,FLI1,0.7082845828586237
EBF3,FLRT2,0.7204844801180912
EBF3,FXYD1,0.7447889888792736
EBF3,GDF10,0.7337953704121898
EBF3,GNG11,0.7979717748031161
EBF3,GPD1,0.706834422674308
EBF3,GPR146,0.7175941040426922
EBF3,GRASP,0.7541976214472615
EBF3,GRRP1,0.726585283632176
EBF3,IGF1,0.780362797405222
EBF3,IL33,0.7310814291383325
EBF3,IPO11,0.7461417261573734
EBF3,ITIH5,0.778510483554305
EBF3,ITM2A,0.731000565621825
EBF3,JAM2,0.7965416816866344
EBF3,LAMA2,0.7192394341738988
EBF3,LCN6,0.7020799730563553
EBF3,LDB2,0.8051253621398664
EBF3,LHFP,0.8069399728156473
EBF3,LOC221091,0.72961836876342
EBF3,LOC338328,0.7173109137705123
EBF3,LYVE1,0.7083600149241991
EBF3,MAP1LC3C,0.7248564034936097
EBF3,MEOX1,0.7268260319208599
EBF3,MEOX2,0.8059821606340791
EBF3,MFAP4,0.7312171744860252
EBF3,MMRN2,0.7230425263082392
EBF3,MRAP,0.7143861621132981
EBF3,MYCT1,0.7955900883295851
EBF3,NPR1,0.7047010600364654
EBF3,PCSK5,0.7136339729311424
EBF3,PDE1A,0.7205571037158073
EBF3,PDE2A,0.7708524258362895
EBF3,PI16,0.7068783589252379
EBF3,PLAC9,0.747883698568238
EBF3,PLIN,0.7110517153123399
EBF3,PPAP2A,0.7388563506846891
EBF3,PTPRB,0.771294187255417
EBF3,RBMS3,0.7632737779118812
EBF3,RHOJ,0.7482379745235352
EBF3,RUNX1T1,0.7386691790133725
EBF3,SCARA5,0.7296174636008494
EBF3,SDPR,0.7551600977401803
EBF3,SELP,0.7076565978400414
EBF3,SHE,0.7658299973466522
EBF3,SLIT2,0.7276226915932505
EBF3,SPARCL1,0.7054276629740179
EBF3,SVEP1,0.7532881173401994
EBF3,TBX15,0.7664715938174016
EBF3,TEK,0.8077684792330357
EBF3,TGFBR2,0.7428208927519199
EBF3,THSD1,0.7183343255378878
EBF3,TNMD,0.7104848431570764
EBF3,TNNT3,0.7469012610912255
EBF3,TPO,0.7436338048637624
EBF3,TSHZ2,0.7008947703518904
EBF3,TSPAN7,0.7519559136317484
EBF3,USHBP1,0.7147421046769138
TBX18,C2ORF32,0.7229729405109347
TBX18,DDR2,0.7454158612971051
TBX18,FSTL1,0.7226280050536656
TBX18,GPR124,0.7139915545232508
TBX18,MSRB3,0.7062710928896981
TBX18,SRPX,0.7074358286672424
PAX4,C10ORF62,0.7346603943071526
PAX4,C17ORF54,0.8138371960162617
PAX4,CDH16,0.7425176547882787
PAX4,CPA5,0.7301847268519189
PAX4,CROCCL2,0.7161866424023674
PAX4,GPR139,0.7585913641473366
PAX4,GPR152,0.8332403874292527
PAX4,KCNV2,0.787904525148889
PAX4,MASP2,0.7248054338248684
PAX4,TCF23,0.8710469474066952
PAX4,TRIM74,0.7063782653164634
PAX4,TSNARE1,0.7773853488695178
SCRT2,ARRDC5,0.7783398782093198
SCRT2,ARTN,0.7229490355988861
SCRT2,AVP,0.8829246155786531
SCRT2,C9ORF62,0.9410472751508951
SCRT2,CASKIN1,0.8890196978532371
SCRT2,CDH24,0.8912185158396906
SCRT2,DLGAP3,0.8651032463327254
